datetime,s1_q50_b1r1,s2_q50_b1r1,s3_q50_b1r1,s1_q10_b1r1,s2_q10_b1r1,s3_q10_b1r1,s1_q90_b1r1,s2_q90_b1r1,s3_q90_b1r1
2023-01-24 00:00,428.19,452.98,249.39,180.65,186.85,7.7,568.16,703.58,746.65
2023-01-24 00:15,422.75,445.21,249.55,190.92,180.58,8.21,602.71,621.57,738.02
2023-01-24 00:30,417.49,438.18,248.75,187.77,177.23,8.74,605.28,623.11,729.54
2023-01-24 00:45,411.94,431.15,243.49,186.9,175.92,9.0,603.21,620.15,721.23
2023-01-24 01:00,406.51,425.34,236.69,183.37,172.36,19.52,591.4,608.21,681.45
2023-01-24 01:15,393.31,411.09,228.1,172.67,157.82,18.43,574.7,590.94,653.87
2023-01-24 01:30,381.14,398.13,219.1,165.19,148.37,8.21,562.93,578.83,652.22
2023-01-24 01:45,370.0,384.47,215.63,161.47,142.7,7.91,552.03,566.63,658.88
2023-01-24 02:00,359.88,370.0,205.33,153.7,134.15,6.9,541.6,553.92,675.64
2023-01-24 02:15,349.45,353.34,203.83,146.68,125.79,4.3,525.51,534.48,688.57
2023-01-24 02:30,338.85,337.6,202.45,139.92,117.91,3.8,517.58,523.71,706.03
2023-01-24 02:45,327.52,322.54,201.3,131.64,109.02,1.53,503.88,508.11,716.94
2023-01-24 03:00,316.34,309.1,200.15,123.86,100.99,1.45,487.23,490.32,718.04
2023-01-24 03:15,308.84,300.15,199.01,121.93,83.8,1.37,536.5,521.86,721.23
2023-01-24 03:30,301.53,291.4,197.59,118.6,81.63,1.32,529.85,514.76,728.82
2023-01-24 03:45,296.15,282.56,192.46,115.22,78.98,1.36,526.17,507.83,739.45
2023-01-24 04:00,290.14,275.24,189.57,110.84,75.74,1.43,522.73,501.64,744.95
2023-01-24 04:15,291.84,276.17,187.86,111.73,76.03,1.3800000000000001,523.98,500.63,754.81
2023-01-24 04:30,294.73,278.61,189.28,110.55,74.09,1.37,528.35,501.63,766.45
2023-01-24 04:45,298.48,280.4,191.86,110.45,73.01,1.4,536.37,503.5,778.2
2023-01-24 05:00,302.59,283.21,193.76,111.92,73.44,1.41,542.8,501.28,790.07
2023-01-24 05:15,308.92,289.56,191.72,116.25,76.53,1.36,552.16,506.51,802.06
2023-01-24 05:30,316.41,294.25,188.56,121.05,79.5,1.42,564.08,509.87,814.16
2023-01-24 05:45,323.59,298.36,188.78,124.17,80.7,3.44,573.49,517.71,826.39
2023-01-24 06:00,332.14,301.4,188.07,127.35,81.6,1.53,585.28,524.15,838.73
2023-01-24 06:15,339.09,306.2,190.91,116.93,81.87,1.55,697.6,584.52,816.33
2023-01-24 06:30,346.35,312.75,198.31,119.4,82.87,1.53,708.14,592.25,803.49
2023-01-24 06:45,353.86,320.04,197.79,122.32,84.05,1.49,718.06,598.75,804.27
2023-01-24 07:00,361.61,325.21,197.66,125.39,85.08,1.46,728.12,604.51,814.29
2023-01-24 07:15,364.44,328.07,196.84,128.3,87.37,1.43,725.06,607.27,824.4
2023-01-24 07:30,365.13,331.34,207.44,131.5,91.21,1.39,717.26,608.91,850.18
2023-01-24 07:45,364.62,336.57,204.33,132.73,93.99,1.35,707.05,611.5,909.84
2023-01-24 08:00,364.12,342.64,206.44,136.66,99.36,1.3,696.28,616.81,947.31
2023-01-24 08:15,360.56,345.51,213.26,135.93,100.41,1.24,687.99,621.62,921.72
2023-01-24 08:30,357.33,348.54,214.6,135.79,101.97,1.19,692.48,629.41,886.45
2023-01-24 08:45,353.9,352.79,216.17,134.3,102.65,1.14,695.38,636.02,883.79
2023-01-24 09:00,349.66,357.88,217.05,132.35,103.75,1.09,698.94,644.48,892.83
2023-01-24 09:15,339.89,357.08,220.68,122.27,121.66,0.56,609.49,600.94,890.84
2023-01-24 09:30,333.75,354.51,218.25,117.03,117.25,0.1,604.75,598.22,913.63
2023-01-24 09:45,326.68,348.86,217.32,111.5,111.78,0.1,600.75,594.99,926.92
2023-01-24 10:00,320.46,340.82,213.11,107.8,107.39,0.1,597.07,590.6,937.91
2023-01-24 10:15,308.77,328.56,212.11,103.03,101.64,0.1,583.99,577.15,948.99
2023-01-24 10:30,298.28,317.39,216.66,98.13,96.03,0.1,572.48,565.46,983.29
2023-01-24 10:45,289.22,307.12,220.92,95.17,92.51,0.1,561.63,553.88,1025.87
2023-01-24 11:00,279.26,297.39,223.3,85.52,89.22,0.1,550.94,543.27,1090.62
2023-01-24 11:15,269.43,286.08,223.33,73.61,86.6,0.1,538.97,530.18,1159.37
2023-01-24 11:30,261.91,275.36,223.11,68.68,85.17,0.1,527.55,516.75,1179.67
2023-01-24 11:45,253.96,264.26,222.01,62.8,83.45,0.1,517.28,504.54,1218.15
2023-01-24 12:00,246.31,255.48,221.34,56.44,78.27,0.1,508.45,494.86,1257.44
2023-01-24 12:15,240.99,248.85,213.05,51.97,77.7,0.1,422.56,522.4,1254.34
2023-01-24 12:30,235.79,243.5,213.29,46.77,72.72,0.1,419.27,519.05,1251.24
2023-01-24 12:45,232.49,238.74,224.36,46.19,68.11,0.1,417.16,516.28,1248.15
2023-01-24 13:00,230.74,234.07,240.49,50.35,63.46,0.5700000000000001,415.26,513.08,1245.07
2023-01-24 13:15,232.54,232.7,249.13,53.06,60.71,0.65,419.14,514.93,1241.99
2023-01-24 13:30,233.3,229.79,246.18,55.21,54.27,1.25,420.39,514.16,1238.92
2023-01-24 13:45,234.29,229.36,241.29,57.96,53.2,1.37,420.94,513.94,1235.85
2023-01-24 14:00,234.69,229.13,236.45,58.49,52.24,1.47,420.57,513.22,1232.79
